조리법,닭고기,무,김치,감자,두부,돼지고기,콩나물,떡,계란,야채,어묵,치즈,삼치,고등어,갈치,동태,주꾸미,낙지,오징어
구이,0.3325727272727273,,0.2385,0.3275333333333333,0.3339,0.30856666666666666,,,0.3134,0.34985,,0.31935,0.323625,0.3161,,,,,
국물,0.3791166666666667,0.318,0.32872666666666667,0.34235,0.32187499999999997,0.3046,0.331475,0.3389333333333333,0.33761428571428576,,0.33352,,,,,0.33094999999999997,,,
무침,,0.33528846153846154,,,0.33414,,0.3417,,,0.3428166666666666,,,,,,,,,
볶음,0.33795555555555556,,0.31516666666666665,0.308475,0.277,0.345725,0.3411,0.34673750000000003,0.2624,0.2988,0.3317666666666667,0.31635,,,,,0.35650000000000004,0.3207,
조림,,0.379,,0.3339,0.35635,0.34626666666666667,,,0.35995,,,,,,0.379,,,,
찜,0.337425,,0.3669,,,0.369625,0.2915,,0.38565,0.3958333333333333,,,,,,,,,
튀김,0.3166888888888889,,,0.28906666666666664,0.31,0.318,,0.314,,0.3194,,0.349475,,,,,,,
